identifier	AC_C_on_ring	AC_C_on_other	AC_N_on_ring	AC_N_on_other	AC_O_on_ring	AC_O_on_other	AC_P_total	AC_S_total	AC_X_total	AC_Ring_count
Br.CC(=O)c1sc(Nc2ccccn2)nc1C	8	3	2	1	0	1	0	1	1	2
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1	18	3	3	1	0	1	0	0	4	4
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12	22	2	3	1	0	1	0	0	1	5
Br.CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	14	6	2	1	0	1	0	1	1	3
Br.CCCCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	14	5	2	1	0	0	0	1	1	3
Br.CCCCCCCCCCCCN(C)C	0	14	0	1	0	0	0	0	1	0
Br.CCCCCCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	9	17	0	1	1	3	0	0	1	2
Br.CCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	9	13	0	1	1	3	0	0	1	2
Br.CCOC(=O)C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	14	5	2	1	0	3	0	1	1	3
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1	14	5	2	1	0	3	0	1	1	3
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)s1	14	4	2	2	0	4	0	1	1	3
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	14	4	2	1	0	2	0	1	1	3
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	18	3	3	1	0	1	0	0	1	4
Br.COc1cc(OC)cc(N(CCP(=O)(O)O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	17	5	4	1	0	5	1	0	1	4
Br.COc1ccc(-c2n/c(=N\CCO)sn2-c2ccccc2)cc1	14	3	2	1	0	2	0	1	1	3
Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	19	2	3	1	0	1	0	1	1	4
Br.COc1ccc(-c2n/c(=N\c3ccccc3)sn2-c2ccccc2)cc1	20	1	2	1	0	1	0	1	1	4
Br.COc1ccc(-n2s/c(=N/CCO)nc2-c2ccccc2)cc1	14	3	2	1	0	2	0	1	1	3
Br.COc1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	19	2	3	1	0	1	0	1	1	4
Br.COc1ccc(NC2=N[C@@H](CCN)CN2)cc1	9	3	2	2	0	1	0	0	1	2
Br.COc1ccc2cc(C3(O)CN(C)C4CCCCC4O3)ccc2c1	18	2	1	0	1	2	0	0	1	4
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1	18	2	3	1	0	1	0	0	2	4
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	18	2	3	1	0	1	0	0	1	4
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F	18	2	3	1	0	1	0	0	2	4
Br.Cc1ccc(=N)n(Cc2cccc(F)c2)c1	11	2	1	1	0	0	0	0	2	2
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1	18	3	3	1	0	1	0	0	1	4
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1	18	3	3	1	0	1	0	0	1	4
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12	18	3	3	1	0	1	0	0	1	4
Br.Cc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1	13	2	3	1	0	0	0	1	1	3
Br.FC(F)(F)c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	19	2	3	1	0	0	0	1	4	4
Br.N=C(N)SCCCn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c2ccccc21	18	4	2	3	0	2	0	1	1	4
Br.N=C(N)SCCc1ccc(Cl)cc1	6	3	0	2	0	0	0	1	2	1
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2	17	1	2	2	0	2	0	0	1	6
Br.O=[N+]([O-])c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	19	1	3	2	0	2	0	1	1	4
Br.OC1(c2ccc(C3CCCCC3)cc2)CN2CCCCC2CO1	20	0	1	0	1	1	0	0	1	4
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2cccc3ccccc23)s1	18	2	2	1	0	1	0	1	1	4
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	14	2	2	1	0	1	0	1	1	3
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1	18	1	3	1	0	1	0	0	2	4
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1	18	1	3	1	0	1	0	0	2	4
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1	18	1	3	1	0	1	0	0	1	4
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1	18	1	3	1	0	1	0	0	2	4
Br.c1ccc(-c2n/c(=N\C3CCCCC3)sn2-c2ccccc2)cc1	20	0	2	1	0	0	0	1	1	4
Br.c1ccc(-c2n/c(=N\CCN3CCOCC3)sn2-c2ccccc2)cc1	18	2	3	1	1	0	0	1	1	4
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2cccc3ccccc23)cc1	23	1	3	1	0	0	0	1	1	5
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	19	1	3	1	0	0	0	1	1	4
Br.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1	23	1	3	1	0	0	0	1	1	5
Br.c1ccc(/N=c2/nc(-c3ccccc3)n(-c3ccccc3)s2)cc1	20	0	2	1	0	0	0	1	1	4
Br.c1ccc(COc2cccc3ccn(CC4=NCCN4)c23)cc1	17	2	3	0	0	1	0	0	1	4
BrC(Cn1ncc2c(N3CCCC3)ncnc21)c1ccccc1	15	2	5	0	0	0	0	0	1	4
BrC(Cn1ncc2c(N3CCCCC3)ncnc21)c1ccccc1	16	2	5	0	0	0	0	0	1	4
BrC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1	17	3	4	1	0	0	0	0	1	4
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1	13	1	5	0	0	0	0	0	1	4
Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br	14	0	4	0	0	0	0	0	4	4
Brc1c(Br)c(Br)c2[nH]c(N3CCC(C4CCNCC4)CC3)nc2c1Br	17	0	4	0	0	0	0	0	4	4
Brc1c(Br)c(Br)c2[nH]c(N3CCCC(CN4CCN(c5ccccn5)CC4)C3)nc2c1Br	21	1	6	0	0	0	0	0	4	5
Brc1c(Br)c(Br)c2[nH]c(N3CCCC3)nc2c1Br	11	0	3	0	0	0	0	0	4	3
