identifier	molecular_weight
Br.CC(=O)c1sc(Nc2ccccn2)nc1C	314.21
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1	479.30
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12	461.36
Br.CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	434.40
Br.CCCCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	404.38
Br.CCCCCCCCCCCCN(C)C	294.32
Br.CCCCCCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	510.51
Br.CCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	454.41
Br.CCOC(=O)C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	450.36
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1	450.36
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)s1	465.33
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	420.33
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	425.33
Br.COc1cc(OC)cc(N(CCP(=O)(O)O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	550.35
Br.COc1ccc(-c2n/c(=N\CCO)sn2-c2ccccc2)cc1	408.32
Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	455.38
Br.COc1ccc(-c2n/c(=N\c3ccccc3)sn2-c2ccccc2)cc1	440.37
Br.COc1ccc(-n2s/c(=N/CCO)nc2-c2ccccc2)cc1	408.32
Br.COc1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	455.38
Br.COc1ccc(NC2=N[C@@H](CCN)CN2)cc1	315.22
Br.COc1ccc2cc(C3(O)CN(C)C4CCCCC4O3)ccc2c1	408.34
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1	490.20
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	411.30
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F	429.29
Br.Cc1ccc(=N)n(Cc2cccc(F)c2)c1	297.17
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1	425.33
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1	425.33
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12	425.33
Br.Cc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1	363.28
Br.FC(F)(F)c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	493.35
Br.N=C(N)SCCCn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c2ccccc21	500.42
Br.N=C(N)SCCc1ccc(Cl)cc1	295.63
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2	407.31
Br.O=[N+]([O-])c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	470.35
Br.OC1(c2ccc(C3CCCCC3)cc2)CN2CCCCC2CO1	396.37
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2cccc3ccccc23)s1	428.36
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	378.30
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1	415.27
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1	415.27
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1	397.28
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1	415.27
Br.c1ccc(-c2n/c(=N\C3CCCCC3)sn2-c2ccccc2)cc1	416.39
Br.c1ccc(-c2n/c(=N\CCN3CCOCC3)sn2-c2ccccc2)cc1	447.40
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2cccc3ccccc23)cc1	475.42
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	425.36
Br.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1	475.42
Br.c1ccc(/N=c2/nc(-c3ccccc3)n(-c3ccccc3)s2)cc1	410.34
Br.c1ccc(COc2cccc3ccn(CC4=NCCN4)c23)cc1	386.29
BrC(Cn1ncc2c(N3CCCC3)ncnc21)c1ccccc1	372.27
BrC(Cn1ncc2c(N3CCCCC3)ncnc21)c1ccccc1	386.30
BrC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1	408.30
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1	334.22
Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br	555.89
Brc1c(Br)c(Br)c2[nH]c(N3CCC(C4CCNCC4)CC3)nc2c1Br	599.99
Brc1c(Br)c(Br)c2[nH]c(N3CCCC(CN4CCN(c5ccccn5)CC4)C3)nc2c1Br	692.09
Brc1c(Br)c(Br)c2[nH]c(N3CCCC3)nc2c1Br	502.83
Brc1c(Br)c(Br)c2[nH]c(N3CCCNCC3)nc2c1Br	531.87
Brc1c(Br)c(Br)c2[nH]c(N3CCN(CCN4CCCCC4)CC3)nc2c1Br	629.03
Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br	557.91
Brc1c(Br)c(Br)c2[nH]c(N3CCNCC3)nc2c1Br	517.85
Brc1c(Br)c(Br)c2[nH]c(N3CCNc4ccccc43)nc2c1Br	565.89
Brc1c(Br)c(Br)c2[nH]c(N3CCOCC3)nc2c1Br	518.83
Brc1c(Br)c(Br)c2[nH]c(NC3CCCCCCC3)nc2c1Br	558.94
Brc1c(Br)c(Br)c2[nH]c(NC3CCCNCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCC3CCNCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCC3)nc2c1Br	559.93
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCCC3)nc2c1Br	573.95
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCOCC3)nc2c1Br	575.93
Brc1c(Br)c(Br)c2[nH]c(NCCCn3ccnc3)nc2c1Br	556.88
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCC3)nc2c1Br	545.90
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCCC3)nc2c1Br	559.93
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCN(c4ncccn4)CC3)nc2c1Br	638.99
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCOCC3)nc2c1Br	561.90
Brc1c(Br)c(Br)c2[nH]c(NCCc3ccccn3)nc2c1Br	553.88
Brc1c(Br)c(Br)c2[nH]c(NCc3ccccc3)nc2c1Br	538.86
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCC3)nc2c1Br	587.94
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCCC3)nc2c1Br	601.96
Brc1c(Br)c(Br)c2[nH]c(Nc3ccccc3)nc2c1Br	524.84
Brc1c(Br)c(Br)c2[nH]c(Nc3ccccn3)nc2c1Br	525.82
Brc1c(Br)c(Br)c2[nH]c(Nc3ccncc3)nc2c1Br	525.82
Brc1c(Br)c(Br)c2c(nc(N3CCNCC3)n2Cc2ccccc2)c1Br	607.97
Brc1cc(Br)cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1	463.13
Brc1cc(Br)cc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)c1	463.13
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br	496.23
Brc1cc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)on1	455.11
Brc1cc2c(NCc3ccccc3)ncnc2s1	320.22
Brc1cc2c(NCc3cccs3)ncnc2s1	326.24
Brc1cc2c(NCc3ccncc3)ncnc2s1	321.20
Brc1cc2c(Nc3ccccc3)ncnc2s1	306.19
Brc1ccc(-c2cc3[nH]ccnc-3n2)cc1	274.12
Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1	405.26
Brc1ccc(-c2csc3nc(-c4ccncc4)nc(N4CCCNCC4)c23)cc1	466.41
