identifier	Stereo_Count_@	Stereo_Max_Cont_@	Stereo_Max_Cont_@@	Stereo_Is_First_@	Stereo_Is_First_@@	Stereo_Count_/	Stereo_Count_\
Br.CC(=O)c1sc(Nc2ccccn2)nc1C	0	0	0	0	0	0	0
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1	0	0	0	0	0	0	0
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12	0	0	0	0	0	0	0
Br.CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	0	0	0	0	0	1	1
Br.CCCCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	0	0	0	0	0	1	1
Br.CCCCCCCCCCCCN(C)C	0	0	0	0	0	0	0
Br.CCCCCCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	0	0	0	0	0	0	0
Br.CCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O	0	0	0	0	0	0	0
Br.CCOC(=O)C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1	0	0	0	0	0	1	1
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1	0	0	0	0	0	1	1
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)s1	0	0	0	0	0	1	1
Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	0	0	0	0	0	1	1
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	2	0	1	0	1	0	0
Br.COc1cc(OC)cc(N(CCP(=O)(O)O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	0	0	0	0	0	0	0
Br.COc1ccc(-c2n/c(=N\CCO)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.COc1ccc(-c2n/c(=N\c3ccccc3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.COc1ccc(-n2s/c(=N/CCO)nc2-c2ccccc2)cc1	0	0	0	0	0	2	0
Br.COc1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	0	0	0	0	0	2	0
Br.COc1ccc(NC2=N[C@@H](CCN)CN2)cc1	2	0	1	0	1	0	0
Br.COc1ccc2cc(C3(O)CN(C)C4CCCCC4O3)ccc2c1	0	0	0	0	0	0	0
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1	2	0	1	0	1	0	0
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	2	0	1	0	1	0	0
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F	2	0	1	0	1	0	0
Br.Cc1ccc(=N)n(Cc2cccc(F)c2)c1	0	0	0	0	0	0	0
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1	2	0	1	0	1	0	0
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1	0	0	0	0	0	0	0
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12	0	0	0	0	0	0	0
Br.Cc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1	0	0	0	0	0	1	1
Br.FC(F)(F)c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.N=C(N)SCCCn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c2ccccc21	0	0	0	0	0	0	0
Br.N=C(N)SCCc1ccc(Cl)cc1	0	0	0	0	0	0	0
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2	0	0	0	0	0	0	0
Br.O=[N+]([O-])c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1	0	0	0	0	0	2	0
Br.OC1(c2ccc(C3CCCCC3)cc2)CN2CCCCC2CO1	0	0	0	0	0	0	0
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2cccc3ccccc23)s1	0	0	0	0	0	1	1
Br.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1	0	0	0	0	0	1	1
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1	0	0	0	0	0	0	0
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1	0	0	0	0	0	0	0
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1	0	0	0	0	0	0	0
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1	0	0	0	0	0	0	0
Br.c1ccc(-c2n/c(=N\C3CCCCC3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.c1ccc(-c2n/c(=N\CCN3CCOCC3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2cccc3ccccc23)cc1	0	0	0	0	0	1	1
Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1	0	0	0	0	0	1	1
Br.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1	0	0	0	0	0	2	0
Br.c1ccc(/N=c2/nc(-c3ccccc3)n(-c3ccccc3)s2)cc1	0	0	0	0	0	2	0
Br.c1ccc(COc2cccc3ccn(CC4=NCCN4)c23)cc1	0	0	0	0	0	0	0
BrC(Cn1ncc2c(N3CCCC3)ncnc21)c1ccccc1	0	0	0	0	0	0	0
BrC(Cn1ncc2c(N3CCCCC3)ncnc21)c1ccccc1	0	0	0	0	0	0	0
BrC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1	0	0	0	0	0	0	0
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1	2	1	0	1	0	0	0
Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br	0	0	0	0	0	0	0
